window_id,domain,pos,kld
conditional-fit-0099,axis3_code_agentic,0,0.3013457637034253
conditional-fit-0099,axis3_code_agentic,1,0.14422483420491117
conditional-fit-0099,axis3_code_agentic,2,0.11692616779472162
conditional-fit-0099,axis3_code_agentic,3,0.14481442377415013
conditional-fit-0099,axis3_code_agentic,4,0.2801518827023846
conditional-fit-0099,axis3_code_agentic,5,0.3838826153425879
conditional-fit-0099,axis3_code_agentic,6,0.010840983542724572
conditional-fit-0099,axis3_code_agentic,7,0.16345966311605567
conditional-fit-0099,axis3_code_agentic,8,0.53166262837269
conditional-fit-0099,axis3_code_agentic,9,0.053246122419442835
conditional-fit-0099,axis3_code_agentic,10,0.30699506031154544
conditional-fit-0099,axis3_code_agentic,11,0.0005859111463563307
conditional-fit-0099,axis3_code_agentic,12,1.80523658138302
conditional-fit-0099,axis3_code_agentic,13,0.4035057649508271
conditional-fit-0099,axis3_code_agentic,14,0.0017251677920479354
conditional-fit-0099,axis3_code_agentic,15,3.0362363623513033e-05
conditional-fit-0099,axis3_code_agentic,16,0.00974465457496863
conditional-fit-0099,axis3_code_agentic,17,0.00033692462490217834
conditional-fit-0099,axis3_code_agentic,18,0.6191044566290225
conditional-fit-0099,axis3_code_agentic,19,0.02905404279536096
conditional-fit-0099,axis3_code_agentic,20,3.749443942579373e-05
conditional-fit-0099,axis3_code_agentic,21,0.11853867718143232
conditional-fit-0099,axis3_code_agentic,22,0.2664811160350118
conditional-fit-0099,axis3_code_agentic,23,0.0550522476888815
conditional-fit-0099,axis3_code_agentic,24,0.07800868420991616
conditional-fit-0099,axis3_code_agentic,25,0.21336409900597547
conditional-fit-0099,axis3_code_agentic,26,0.10964763893386975
conditional-fit-0099,axis3_code_agentic,27,0.3803007313975827
conditional-fit-0099,axis3_code_agentic,28,0.12344007779258998
conditional-fit-0099,axis3_code_agentic,29,0.322082356692025
conditional-fit-0099,axis3_code_agentic,30,0.04170745539826667
conditional-fit-0099,axis3_code_agentic,31,0.10520827936288937
conditional-fit-0099,axis3_code_agentic,32,0.11218294388513499
conditional-fit-0099,axis3_code_agentic,33,0.1636924809703983
conditional-fit-0099,axis3_code_agentic,34,0.10308594886554194
conditional-fit-0099,axis3_code_agentic,35,8.431779947512861e-05
conditional-fit-0099,axis3_code_agentic,36,0.00612175511759239
conditional-fit-0099,axis3_code_agentic,37,1.793459715189893e-05
conditional-fit-0099,axis3_code_agentic,38,0.0017539342847673327
conditional-fit-0099,axis3_code_agentic,39,0.387432750726493
conditional-fit-0099,axis3_code_agentic,40,0.21139279635178726
conditional-fit-0099,axis3_code_agentic,41,0.16931308419124347
conditional-fit-0099,axis3_code_agentic,42,0.018237017310576472
conditional-fit-0099,axis3_code_agentic,43,0.13846293479719973
conditional-fit-0099,axis3_code_agentic,44,0.18861104716717625
conditional-fit-0099,axis3_code_agentic,45,0.3617798298241164
conditional-fit-0099,axis3_code_agentic,46,0.05149907273784954
conditional-fit-0099,axis3_code_agentic,47,0.007163859615685059
conditional-fit-0099,axis3_code_agentic,48,5.1402859870610174e-05
conditional-fit-0099,axis3_code_agentic,49,0.00403370889875116
conditional-fit-0099,axis3_code_agentic,50,0.027558465198737312
conditional-fit-0099,axis3_code_agentic,51,0.0020454016485864845
conditional-fit-0099,axis3_code_agentic,52,0.007842343574848447
conditional-fit-0099,axis3_code_agentic,53,0.0006422615788691815
conditional-fit-0099,axis3_code_agentic,54,0.00017561384210493884
conditional-fit-0099,axis3_code_agentic,55,0.04633519963765406
conditional-fit-0099,axis3_code_agentic,56,0.00017000251571125863
conditional-fit-0099,axis3_code_agentic,57,0.0005610334279841282
conditional-fit-0099,axis3_code_agentic,58,6.1453422146854964e-06
conditional-fit-0099,axis3_code_agentic,59,9.739818874121385e-05
conditional-fit-0099,axis3_code_agentic,60,0.09464907213902415
conditional-fit-0099,axis3_code_agentic,61,0.24517990808511256
conditional-fit-0099,axis3_code_agentic,62,0.033148145236227625
conditional-fit-0099,axis3_code_agentic,63,0.11280131058546664
conditional-fit-0099,axis3_code_agentic,64,0.16011275827783616
conditional-fit-0099,axis3_code_agentic,65,0.004099632604487832
conditional-fit-0099,axis3_code_agentic,66,0.030376531436394186
conditional-fit-0099,axis3_code_agentic,67,0.09855512128314009
conditional-fit-0099,axis3_code_agentic,68,0.04044924918315614
conditional-fit-0099,axis3_code_agentic,69,0.14099073247444216
conditional-fit-0099,axis3_code_agentic,70,0.05457150895671716
conditional-fit-0099,axis3_code_agentic,71,0.03496520593333356
conditional-fit-0099,axis3_code_agentic,72,0.0938479185097163
conditional-fit-0099,axis3_code_agentic,73,0.07187733226317114
conditional-fit-0099,axis3_code_agentic,74,0.07206843599103999
conditional-fit-0099,axis3_code_agentic,75,0.0339508597851927
conditional-fit-0099,axis3_code_agentic,76,0.07551650971408684
conditional-fit-0099,axis3_code_agentic,77,0.06231815290704153
conditional-fit-0099,axis3_code_agentic,78,0.01657793040540798
conditional-fit-0099,axis3_code_agentic,79,0.00011152300234042925
conditional-fit-0099,axis3_code_agentic,80,0.0009624452770735152
conditional-fit-0099,axis3_code_agentic,81,3.121261886853629e-05
conditional-fit-0099,axis3_code_agentic,82,6.795179023012424e-05
conditional-fit-0099,axis3_code_agentic,83,0.06367027379626669
conditional-fit-0099,axis3_code_agentic,84,0.001390989321958583
conditional-fit-0099,axis3_code_agentic,85,1.9550143765739992e-05
conditional-fit-0099,axis3_code_agentic,86,0.00016930623581975696
